# chronologia — coarse IntCal20 radiocarbon calibration curve
#
# Source: IntCal20 Northern Hemisphere atmospheric 14C calibration curve,
#   Reimer et al. 2020, Radiocarbon 62, doi:10.1017/RDC.2020.41
#   https://intcal.org/curves/intcal20.14c
# Downloaded: 2026-07-21
#
# COARSENESS / HONESTY NOTE: this is the full 1-yr IntCal20 curve DECIMATED to
# every 100th cal-BP sample (0..55000 cal BP). It exists to demonstrate that
# 14C BP and cal BP are distinct reckonings bridged by a tabulated, uncertainty-
# bearing conversion. `calibrate_c14` does a nearest-sample lookup on this coarse
# grid, NOT a probabilistic OxCal/Bayesian calibration: no full-resolution
# curve, no measurement error propagation, no highest-posterior-density
# intervals. Use it as a coarse locator on the BP axis, never as a substitute
# for OxCal/CALIB for real radiocarbon work. basis of results is "reconstructed".
#
# The curve maps a calendar age (cal BP, before AD 1950) to the atmospheric
# radiocarbon age a sample of that calendar age would yield, with a 1-sigma
# uncertainty. Columns:
#   cal_bp<TAB>c14_bp<TAB>sigma_14c
# cal_bp: calendar years before AD 1950 (the sampled grid, step 100).
# c14_bp: mean conventional radiocarbon age (14C yr BP) at that calendar age.
# sigma_14c: 1-sigma of the curve's 14C age at that point (14C yr).
#
cal_bp	c14_bp	sigma_14c
35300	30906.0	141.0
35400	31074.0	137.0
35500	31201.0	127.0
35600	31291.0	111.0
35700	31364.0	100.0
35800	31415.0	101.0
35900	31452.0	112.0
36000	31526.0	116.0
36100	31660.0	129.0
36200	31842.0	132.0
36300	32020.0	129.0
36400	32158.0	116.0
36500	32260.0	109.0
36600	32337.0	112.0
36700	32395.0	113.0
36800	32452.0	112.0
36900	32541.0	107.0
37000	32669.0	102.0
37100	32792.0	98.0
37200	32877.0	98.0
37300	32931.0	97.0
37400	32973.0	102.0
37500	33045.0	105.0
37600	33175.0	106.0
37700	33293.0	99.0
37800	33349.0	94.0
37900	33355.0	95.0
38000	33353.0	103.0
38100	33366.0	107.0
38200	33395.0	107.0
38300	33428.0	103.0
38400	33463.0	106.0
38500	33510.0	119.0
38600	33550.0	124.0
38700	33574.0	117.0
38800	33589.0	117.0
38900	33615.0	118.0
39000	33668.0	114.0
39100	33775.0	121.0
39200	33940.0	130.0
39300	34107.0	130.0
39400	34253.0	128.0
39500	34373.0	123.0
39600	34483.0	123.0
39700	34598.0	129.0
39800	34713.0	133.0
39900	34816.0	129.0
40000	34918.0	125.0
40100	35004.0	123.0
40200	35048.0	124.0
40300	35080.0	131.0
40400	35151.0	134.0
40500	35266.0	132.0
40600	35401.0	130.0
40700	35519.0	124.0
40800	35614.0	123.0
40900	35713.0	124.0
41000	35843.0	127.0
41100	35993.0	128.0
41200	36156.0	130.0
41300	36324.0	129.0
41400	36480.0	124.0
41500	36601.0	126.0
41600	36672.0	127.0
41700	36734.0	131.0
41800	36847.0	144.0
41900	37023.0	160.0
42000	37241.0	172.0
42100	37489.0	180.0
42200	37769.0	180.0
42300	38082.0	179.0
42400	38413.0	168.0
42500	38712.0	159.0
42600	38966.0	158.0
42700	39184.0	158.0
42800	39411.0	163.0
42900	39665.0	170.0
43000	39905.0	174.0
43100	40101.0	177.0
43200	40273.0	177.0
43300	40425.0	176.0
43400	40549.0	169.0
43500	40610.0	165.0
43600	40586.0	165.0
43700	40558.0	169.0
43800	40573.0	188.0
43900	40644.0	201.0
44000	40754.0	217.0
44100	40887.0	219.0
44200	41028.0	218.0
44300	41187.0	210.0
44400	41384.0	203.0
44500	41611.0	206.0
44600	41845.0	202.0
44700	42054.0	216.0
44800	42223.0	219.0
44900	42365.0	230.0
45000	42497.0	218.0
45100	42618.0	213.0
45200	42724.0	207.0
45300	42826.0	211.0
45400	42954.0	217.0
45500	43096.0	219.0
45600	43215.0	219.0
45700	43301.0	222.0
45800	43394.0	225.0
45900	43537.0	229.0
46000	43745.0	237.0
46100	43955.0	252.0
46200	44114.0	243.0
46300	44215.0	233.0
46400	44265.0	223.0
46500	44283.0	222.0
46600	44312.0	223.0
46700	44400.0	229.0
46800	44538.0	242.0
46900	44690.0	257.0
47000	44822.0	276.0
47100	44910.0	297.0
47200	44957.0	318.0
47300	45005.0	326.0
47400	45065.0	325.0
47500	45131.0	340.0
47600	45201.0	340.0
47700	45281.0	347.0
47800	45386.0	351.0
47900	45514.0	358.0
48000	45650.0	383.0
48100	45782.0	382.0
48200	45907.0	359.0
48300	46025.0	347.0
48400	46137.0	335.0
48500	46246.0	322.0
48600	46360.0	341.0
48700	46487.0	360.0
48800	46624.0	364.0
48900	46757.0	377.0
49000	46870.0	387.0
49100	46950.0	378.0
49200	46994.0	381.0
49300	47010.0	374.0
49400	47013.0	369.0
49500	47030.0	371.0
49600	47079.0	352.0
49700	47157.0	343.0
49800	47262.0	350.0
49900	47390.0	352.0
50000	47531.0	354.0
50100	47669.0	364.0
50200	47787.0	356.0
50300	47880.0	362.0
50400	47949.0	371.0
50500	48016.0	375.0
50600	48082.0	383.0
50700	48137.0	400.0
50800	48175.0	397.0
50900	48201.0	392.0
51000	48221.0	407.0
51100	48239.0	438.0
51200	48256.0	463.0
51300	48276.0	469.0
51400	48303.0	461.0
51500	48335.0	447.0
51600	48380.0	439.0
51700	48440.0	444.0
51800	48516.0	461.0
51900	48613.0	484.0
52000	48730.0	504.0
52100	48873.0	512.0
52200	49035.0	506.0
52300	49211.0	493.0
52400	49396.0	481.0
52500	49579.0	478.0
52600	49754.0	489.0
52700	49912.0	514.0
52800	50042.0	543.0
52900	50137.0	566.0
53000	50187.0	573.0
53100	50188.0	561.0
53200	50154.0	537.0
53300	50094.0	515.0
53400	50016.0	504.0
53500	49931.0	509.0
53600	49848.0	533.0
53700	49773.0	572.0
53800	49713.0	617.0
53900	49671.0	664.0
54000	49647.0	710.0
54100	49639.0	752.0
54200	49644.0	792.0
54300	49663.0	827.0
54400	49695.0	859.0
54500	49738.0	889.0
54600	49792.0	917.0
54700	49854.0	945.0
54800	49928.0	971.0
54900	50009.0	997.0
55000	50100.0	1024.0
